412,005615,0,0,49
412,005615,0,1,37
413,005629,1,2,78
414,005632,1,2,76
415,005635,1,2,78
416,005641,0,2,36
418,005655,1,0,50
418,005655,1,3,50
419,005728,1,2,136
420,005752,1,2,79
421,005842,0,5,30
423,005850,1,0,77
423,005850,1,3,76
424,005904,0,7,30
426,005905,0,0,30
426,005905,0,0,11
428,005926,0,2,75
428,005926,0,7,30
429,005932,1,2,74
430,005936,1,2,75
432,005941,1,3,49
432,005941,1,0,49
433,010011,1,2,50
434,010027,0,7,30
435,010052,1,7,49
437,010117,0,5,37
438,010117,1,5,6
440,010119,1,5,22
440,010119,1,0,8
440,010119,1,0,1
441,010131,0,2,30
442,010134,1,2,77
443,010147,1,2,75
444,010152,1,7,70
446,010216,0,7,25
446,010216,1,5,1
447,010231,1,2,77
449,010256,0,0,18
449,010256,0,1,17
450,010303,0,2,37
451,010315,0,0,2
453,010325,0,1,24
453,010325,0,0,24
455,010325,0,1,21
455,010325,0,0,21
458,010328,0,0,28
458,010328,0,1,24
460,010328,1,0,36
462,010328,1,1,132
462,010328,1,0,20
462,010328,1,1,20
462,010328,1,0,7
463,010330,1,2,29
465,010333,1,0,29
465,010333,1,1,24
467,010333,1,1,30
467,010333,1,0,29
468,010338,1,2,25
470,010339,0,1,25
470,010339,0,0,25
471,010348,1,7,51
473,010348,0,0,51429
474,010349,1,2,74
476,010351,0,1,30
476,010351,0,0,25
477,010351,0,7,72
477,010351,1,0,2
479,010404,1,0,17
479,010404,1,1,15
480,010411,1,2,51
482,010413,0,0,21
482,010413,0,1,19
483,010417,1,7,79
484,010419,1,2,50
485,010421,1,2,52
487,010425,0,1,13
487,010425,0,0,13
489,010426,0,1,13
489,010426,0,0,13
491,010427,0,0,11
491,010427,0,1,11
495,010429,0,0,136
495,010429,0,1,72
497,010429,0,0,36
497,010429,0,1,30
497,010429,0,1,16
497,010429,0,0,16
501,010430,1,1,73
501,010430,1,0,73
504,010431,1,0,73
504,010431,1,1,72
504,010431,1,1,18
504,010431,1,0,18
508,010433,1,0,69
508,010433,1,1,69
510,010433,0,1,154
510,010433,0,0,153
510,010433,1,0,18
510,010433,1,1,16
512,010434,1,0,12
512,010434,1,1,11
514,010434,1,1,18
514,010434,1,0,18
514,010434,1,1,3
516,010437,1,1,14
516,010437,1,0,14
518,010438,1,1,16
518,010438,1,0,16
519,010445,1,2,21
520,010447,0,2,25
521,010502,0,2,38
524,010513,0,1,134
524,010513,0,0,132
527,010513,0,1,151
527,010513,0,0,149
529,010513,0,0,159
529,010513,0,1,156
529,010513,1,0,21
529,010513,1,1,18
532,010514,0,1,29
533,010514,1,7,74
534,010515,1,0,46
534,010515,1,1,46
536,010515,1,0,36
536,010515,1,1,24
536,010515,1,0,24
537,010544,1,2,73
538,010556,0,2,37
540,010610,1,0,73
540,010610,1,1,72
542,010611,1,0,75
542,010611,1,1,75
543,010617,1,2,38
544,010625,1,2,74
545,010633,1,7,50
546,010634,0,0,21
547,010636,0,2,51
548,010640,1,2,50
549,010703,1,2,50
550,010705,1,2,49
551,010744,0,7,21
553,010800,0,0,72
553,010800,0,3,72
555,010801,0,7,75
555,010801,0,0,38
556,010818,0,7,51
557,010824,1,2,72
558,010841,1,7,75
559,010847,0,2,30
560,010917,1,2,142
561,011000,1,2,76
562,011009,1,2,49
564,011020,1,3,30
564,011020,1,0,30
566,011030,1,0,72
566,011030,1,1,71
568,011031,1,0,131
568,011031,1,1,75
570,011031,1,0,74
570,011031,1,1,74
573,011032,1,1,49655
573,011032,1,0,5723
574,011032,1,0,128
574,011032,1,1,72
576,011032,0,0,74
576,011032,0,1,74
578,011032,0,0,148
578,011032,0,1,147
579,011036,1,2,52
580,011104,1,2,74
581,011106,1,2,48
582,011108,0,2,74
583,011111,1,2,74
584,011118,0,2,30
585,011123,1,2,50
586,011130,1,0,2
587,011149,0,2,30
589,011152,0,3,51
589,011152,0,0,51
590,011155,0,2,38
591,011207,1,2,78
592,011215,1,2,50
593,011217,1,2,52
595,011224,1,0,70
595,011224,1,1,69
597,011224,1,0,142
598,011224,1,1,15190
